ZipCode,DogBreed
15243,MIXED
15238,MIXED
15205,MIXED
15235,MIXED
15090,LABRADOR RETRIEVER
15122,MIXED
15228,MIXED
15014,MIXED
15144,MIXED
15236,MIXED
15216,MIXED
15239,MIXED
15037,MIXED
15132,AM PIT BULL TERRIER
15104,MIXED
15025,MIXED
15120,MIXED
15101,MIXED
15045,MIXED
15108,MIXED
15129,MIXED
15116,MIXED
15143,LABRADOR RETRIEVER
15237,MIXED
15227,MIXED
15229,MIXED
15209,MIXED
15146,MIXED
15017,MIXED
15220,MIXED
15035,MIXED
15221,MIXED
15136,MIXED
15049,AM PIT BULL TERRIER
15139,MIXED
15001,TAG
15218,MIXED
15044,MIXED
15234,MIXED
15065,MIXED
15102,MIXED
15071,MIXED
15215,MIXED
15068,MIXED
32311,SHIH TZU
15202,MIXED
15106,MIXED
15057,MIXED
15241,MIXED
15214,MIXED
15210,MIXED
15015,LABRADOR RETRIEVER
15147,MIXED
15145,MIXED
15024,MIXED
34112,BEAGLE MIX
15084,MIXED
15112,MIXED
15126,MIXED
15006,LABRADOR RETRIEVER
15063,MIXED
15135,MIXED
15137,MIXED
15133,MIXED
15226,LAB MIX
15110,AM PIT BULL TERRIER
15223,MIXED
15076,LABRADOR RETRIEVER
15030,LAB MIX
15046,MIXED
15131,MIXED
15018,LAB MIX
16046,LABRADOR RETRIEVER
15003,MIXED
15212,LABRADOR RETRIEVER
15026,LABRADOR RETRIEVER
15051,MIXED
29926,LABRADOODLE
77351,GER SHEPHERD MIX
15047,LABRADOR RETRIEVER
15140,LAB MIX
15206,BEAGLE MIX
15056,LABRADOR RETRIEVER
15233,YORKSHIRE TERRIER
15332,MIXED
16259,LAB MIX
15142,LAB MIX
15028,DACHSHUND
32119,PUG
15217,MIXED
15082,MIXED
15613,YORKSHIRE TERRIER
15031,MIXED
15601,STAFFORDSHIRE TERRI
32224,SHETLAND SHEEPDOG
34108,COTON DE TULEAR
34119,SHIBA INU
15367,TAG
15005,MIXED
15208,LAB MIX
29410,LAB MIX
15222,LAB MIX
15211,MIXED
27302,LABRADOR RETRIEVER
15225,LAB MIX
15086,COCKER SPANIEL
16059,LABRADOR RETRIEVER
16066,LABRADOR RETRIEVER
15061,LABRADOR RETRIEVER
27950,LAB MIX
15034,MIXED
15089,CANE CORSO
15317,LABRADOR RETRIEVER
45039,YORKSHIRE TERRIER
75010,TAG
15148,MIXED
15066,COCKER SPANIEL
15321,DOBERMAN PINSCHER
30064,LABRADOODLE
15007,MIXED
15134,LABRADOR RETRIEVER
15224,TAG
15642,CHIHUAHUA
19438,BOXER
15091,MIXED
15032,BOSTON TERRIER
28594,MIXED
15213,PORTUGESE WATER DOG
34472,DACHSHUND
15668,LABRADOR RETRIEVER
15207,BOXER
15085,MIXED
15330,OLD ENG SHEEPDOG
15301,POMERANIAN
15127,MIXED
15042,SCHNAUZER MIN
15075,LABRADOR RETRIEVER
7885,CHIHUAHUA
16113,LAB MIX
43935,CANE CORSO
29566,MIXED
34114,BORD COLLIE
15632,COCKER SPANIEL
15088,MIXED
15083,AM PIT BULL TERRIER
11731,POMERANIAN
17070,W HGHLND WH TERRIER
16342,GER SHEPHERD MIX
32506,PARSON RUSSELL TERR
70119,SCHIPPERKE
15232,BEAGLE
30248,MIXED
21401,DACHSHUND
78130,LAB MIX
15020,CHIHUAHUA
18705,TAG
32137,LAB MIX
15626,LABRADOR RETRIEVER
27606,SHETLAND SHEEPDOG
15203,MIXED
2864,SCHNOODLE
16037,LHASA APSO
26047,POODLE MIX
28173,ENGLISH MASTIFF
15282,AM PIT BULL TERRIER
15012,COCKER SPANIEL
15201,LAB MIX
23451,YORKSHIRE TERRIER
15064,LABRADOR RETRIEVER
34145,ENG BULLDOG
30506,WELSH CORGI PEMBROK
49441,GOLDEN RETRIEVER
44420,COLLIE MIX
15219,BRUSSELS GRIFFON
31520,LAB MIX
28117,ENG SPRINGER SPANIE
46142,GREYHOUND
15043,TERRIER MIX
15660,LAB MIX
27603,CHIHUAHUA
16354,MIXED
37043,BOXER
33764,MIXED
48808,MIN PINSCHER
80130,BOXER
19014,PARSON RUSSELL TERR
33566,MIXED
17111,W HGHLND WH TERRIER
84770,COTON DE TULEAR
29466,LAB MIX
34292,COLLIE MIX
26508,WEIMARANER
16053,POODLE STANDARD
16121,CHIHUAHUA
15231,SCHNAUZER MIN
23059,AM ESKIMO DOG
45102,COCKAPOO
15038,SHIH TZU
32207,MIXED
15678,SHEPHERD MIX
33442,JACK RUSSEL TERRIER
15021,DALMATIAN
14830,BEAGLE
15767,AUS CATTLE DOG
31535,LAB MIX
15692,POODLE MIN
22508,POODLE TOY
34205,HAVANESE
27540,TAG
74864,LAB MIX
28539,LABRADOODLE
80863,ROTTWEILER
15656,GER SHORTHAIR POINT
15670,BORD COLLIE
15636,MIXED
16127,LABRADOR RETRIEVER
29928,LABRADOR RETRIEVER
33426,REDBONE COONHOUND
16316,YORKSHIRE TERRIER
16233,BICHON FRISE
15009,MIXED
18930,SIB HUSKY
27833,LABRADOR RETRIEVER
55811,CHIHUAHUA
74133,MIXED
16055,YORKSHIRE TERR MIX
28025,LABRADOR RETRIEVER
35907,POODLE STANDARD
15010,AM PIT BULL TERRIER
40205,MIXED
16063,MALTESE
21113,PUG
17331,MIXED
34233,COLLIE
16056,LABRADOR RETRIEVER
16229,SIB HUSKY
